C/A,UNIT,SCP,DATEn,TIMEn,DESCn,ENTRIESn,EXITSn
A002,R051,02-00-00,05-01-11,08:00:00,REGULAR,3144353,1088177
A002,R051,02-00-00,05-02-11,16:00:00,REGULAR,3145337,1088823
A002,R051,02-00-00,05-04-11,00:00:00,REGULAR,3147798,1089515
A002,R051,02-00-00,05-05-11,08:00:00,REGULAR,3149331,1090257
A002,R051,02-00-00,05-05-11,20:00:00,REGULAR,3150639,1090714
A002,R051,02-00-01,04-30-11,00:00:00,REGULAR,3093886,658807
A002,R051,02-00-01,05-01-11,08:00:00,REGULAR,3094602,658994
A002,R051,02-00-01,05-02-11,16:00:00,REGULAR,3095555,659356
A002,R051,02-00-01,05-04-11,00:00:00,REGULAR,3097762,659771
A002,R051,02-00-01,05-05-11,08:00:00,REGULAR,3099132,660164
A002,R051,02-00-01,05-06-11,00:00:00,REGULAR,3100468,660502
A002,R051,02-03-00,04-30-11,00:00:00,REGULAR,1286852,4585104
A002,R051,02-03-00,05-01-11,08:00:00,REGULAR,1287212,4586328
A002,R051,02-03-00,05-02-11,16:00:00,REGULAR,1287612,4588498
A002,R051,02-03-00,05-04-11,00:00:00,REGULAR,1288518,4591476
A002,R051,02-03-00,05-05-11,08:00:00,REGULAR,1289119,4593931
A002,R051,02-03-00,05-06-11,04:00:00,REGULAR,1289685,4595816
A002,R051,02-03-01,04-30-11,00:00:00,REGULAR,2845503,4386061
A002,R051,02-03-01,05-01-11,08:00:00,REGULAR,2846616,4387487
A002,R051,02-03-01,05-02-11,16:00:00,REGULAR,2847721,4389876
A002,R051,02-03-01,05-04-11,00:00:00,REGULAR,2849963,4392650
A002,R051,02-03-01,05-05-11,08:00:00,REGULAR,2851385,4395141
A002,R051,02-03-01,05-05-11,20:00:00,REGULAR,2852442,4396862
A002,R051,02-03-02,04-30-11,00:00:00,REGULAR,2616361,3583719
A002,R051,02-03-02,05-01-11,08:00:00,REGULAR,2617284,3584890
A002,R051,02-03-02,05-02-11,16:00:00,REGULAR,2618320,3586861
A002,R051,02-03-02,05-04-11,00:00:00,REGULAR,2620423,3589256
A002,R051,02-03-02,05-05-11,08:00:00,REGULAR,2621777,3591470
A002,R051,02-03-02,05-06-11,04:00:00,REGULAR,2623089,3593088
A002,R051,02-03-03,04-30-11,00:00:00,REGULAR,2321250,3040076
A002,R051,02-03-03,05-01-11,08:00:00,REGULAR,2322030,3040872
A002,R051,02-03-03,05-02-11,16:00:00,REGULAR,2322958,3042559
A002,R051,02-03-03,05-04-11,00:00:00,REGULAR,2324968,3044409
A002,R051,02-03-03,05-05-11,08:00:00,REGULAR,2326271,3046267
A002,R051,02-03-03,05-06-11,08:00:00,REGULAR,2327493,3047830
A002,R051,02-03-04,04-30-11,00:00:00,REGULAR,3032959,1992283
A002,R051,02-03-04,05-01-11,08:00:00,REGULAR,3033956,1992664
A002,R051,02-03-04,05-02-11,16:00:00,REGULAR,3035177,1993448
A002,R051,02-03-04,05-04-11,00:00:00,REGULAR,3037476,1994357
A002,R051,02-03-04,05-05-11,08:00:00,REGULAR,3039189,1995217
A002,R051,02-03-04,05-06-11,08:00:00,REGULAR,3040744,1995953
A002,R051,02-03-05,04-30-11,00:00:00,REGULAR,5076222,973110
A002,R051,02-03-05,05-01-11,08:00:00,REGULAR,5078075,973222
A002,R051,02-03-05,05-02-11,16:00:00,REGULAR,5080549,973416
A002,R051,02-03-05,05-04-11,00:00:00,REGULAR,5084572,973640
A002,R051,02-03-05,05-05-11,08:00:00,REGULAR,5087350,973821
A002,R051,02-03-05,05-05-11,20:00:00,REGULAR,5089333,973943
A002,R051,02-03-06,04-30-11,00:00:00,REGULAR,3859091,421997
A002,R051,02-03-06,05-01-11,08:00:00,REGULAR,3859950,422017
A002,R051,02-03-06,05-02-11,16:00:00,REGULAR,3861300,422049
A002,R051,02-03-06,05-04-11,00:00:00,REGULAR,3864106,422091
A002,R051,02-03-06,05-05-11,08:00:00,REGULAR,3865944,422132
A002,R051,02-03-06,05-06-11,08:00:00,REGULAR,3867868,422167
A002,R051,02-05-00,04-30-11,00:00:00,REGULAR,634,0
A002,R051,02-05-00,05-01-11,08:00:00,REGULAR,634,0
A002,R051,02-05-00,05-02-11,16:00:00,REGULAR,634,0
